Nome,Modalidade,Nivel,Agência
CRISTIANO MAURO ASSIS GOMES,PQ,2,CNPq
CRISTINA GUATIMOSIM FONSECA,PQ,1D,CNPq
CSABA SCHNEIDER,PQ,1D,CNPq
CYNTHIA LOPES MARTINS PEREIRA,PQ,C,CNPq
DAISY MOREIRA CUNHA,PQ,C,CNPq
DALTON MARTINI COLOMBO,PQ,C,CNPq
DANIEL DE ASSIS SANTOS,PQ,1C,CNPq
DANIEL FERNANDES MACEDO,PQ,C,CNPq
DANIEL MAJUSTE,PQ,C,CNPq
DANIEL MENEZES SOUZA,DT,1D,CNPq
DANIELE CRISTINA DE AGUIAR,PQ,2,CNPq
DANIELE DA GLORIA DE SOUZA,PQ,1B,CNPq
DANIELLA CASTANHEIRA BARTHOLOMEU,PQ,1B,CNPq
DANIELLE FERREIRA DE MAGALHAES SOARES,PQ,2,CNPq
DANILO IGLESIAS BRANDAO,PQ,C,CNPq
DANILO RAFAEL MESQUITA NEVES,PQ,C,CNPq
DAVID SOEIRO BARBOSA,PQ,C,CNPq
DAWIDSON ASSIS GOMES,PQ,2,CNPq
DAWISSON ELVECIO BELEM LOPES,PQ,2,CNPq
DAYSE CARVALHO DA SILVA MARTINS,PQ,2,CNPq
DEBORA MARQUES DE MIRANDA,PQ,A,CNPq
DEBORAH APARECIDA NEGRAO CORREA,PQ,1C,CNPq
DEBORAH CARVALHO MALTA,PQ,A,CNPq
DEISE LUIZA DA SILVA FERRAZ,PQ,C,CNPq
DENISE MARIA TROMBERT DE OLIVEIRA,PQ,2,CNPq
DENISE UTSCH GONCALVES,PQ,B,CNPq
DIANA BAHIA,PQ,2,CNPq
DIEGO RODRIGUES MACEDO,PQ,2,CNPq
DORGIVAL OLAVO GUEDES NETO,PQ,2,CNPq
DOUGLAS ATTILA MARCELINO,PQ,C,CNPq
DOUGLAS BATISTA MAZZINGHY,PQ,2,CNPq
DOUGLAS GUIMARAES MACHARET,PQ,2,CNPq
DULCIENE MARIA DE MAGALHAES QUEIROZ,PQ,1A,CNPq
EDGAR VLADIMIRO MANTILLA CARRASCO,PQ,1D,CNPq
EDMAR AVELLAR SOARES,PQ,C,CNPq
EDSON MASSAYUKI HUZIWARA,PQ,2,CNPq
EDSON PAULO DOMINGUES,PQ,A,CNPq
EDUARDO ANTONIO FERRAZ COELHO,PQ,1B,CNPq
EDUARDO ARAUJO DE OLIVEIRA,PQ,B,CNPq
EDUARDO COUTINHO DE PAULA,DT,2,CNPq
EDUARDO DA MOTTA E ALBUQUERQUE,PQ,1D,CNPq
EDUARDO HENRIQUE MARTINS NUNES,PQ,C,CNPq
EDUARDO MAGNO LAGES FIGUEIREDO,PQ,B,CNPq
EDUARDO MALDONADO TURRA,PQ,1D,CNPq
EDUARDO MARTIN TARAZONA SANTOS,PQ,B,CNPq
EDUARDO MAZONI ANDRADE MARCAL MENDES,PQ,1C,CNPq
EDUARDO NICOLAU DOS SANTOS,PQ,1C,CNPq
EDUARDO ROBSON DUARTE,DT,2,CNPq
EDUARDO ROMEIRO FILHO,PQ,C,CNPq
ELAINE AMARAL LEITE,PQ,2,CNPq
ELCIO LOUREIRO CORNELSEN,PQ,2,CNPq
ELDER ANTONIO SOUSA E PAIVA,PQ,1D,CNPq
ELEN DE MEDEIROS,PQ,2,CNPq
ELENA VITALIEVNA GOUSSEVSKAIA,PQ,1A,CNPq
ELIDA MARA LEITE RABELO,PQ,2,CNPq
ELISANGELA CRISTINA AGANETTE,PQ,C,CNPq
ELSON JOSE DA SILVA,PQ,2,CNPq
ELTON ANTUNES,PQ,2,CNPq
ELYSANGELA DITTZ DUARTE,PQ,2,CNPq
EMERSON ALVES MENDONCA DE ABREU,PQ,1D,CNPq
EMILIO PELUSO NEDER MEYER,PQ,C,CNPq
ENIO FERREIRA,PQ,C,CNPq
ENRRICO BLOISE,PQ,2,CNPq
ERICA AZEVEDO COSTA,PQ,C,CNPq
ERICA DOS SANTOS MARTINS DUARTE,PQ,2,CNPq
ERICA RENATA DE SOUZA,PQ,2,CNPq
ERICKSON RANGEL DO NASCIMENTO,PQ,C,CNPq
ERIKA CRISTINA JORGE,PQ,2,CNPq
ERIKA MARTINS BRAGA,PQ,1B,CNPq
ERNA GEESSIEN KROON,PQ,1A,CNPq
ERNESTO PERINI FRIZZERA DA MOTA SANTOS,PQ,1B,CNPq
ESLY FERREIRA DA COSTA JUNIOR,PQ,2,CNPq
ESTEVAM BARBOSA DE LAS CASAS,PQ,1C,CNPq
EUFRANIO NUNES DA SILVA JUNIOR,PQ,A,CNPq
EZEQUIEL RODRIGUES BARBOSA,PQ,1B,CNPq
FABIANA SIMAO MACHADO,PQ,1C,CNPq
FABIANO VARGAS PEREIRA,PQ,2,CNPq
FABIO ALVES DA SILVA JUNIOR,PQ,1B,CNPq
FABIO BONFIM DUARTE,PQ,1D,CNPq
FABIO ENRIQUE BROCHERO MARTINEZ,PQ,1D,CNPq
FABIO LUIZ BURANELO TORAL,PQ,C,CNPq
FABIO SOARES DE OLIVEIRA,PQ,1D,CNPq
FABIO TOZI,PQ,C,CNPq
FABIO VASCONCELLOS COMIM,PQ,2,CNPq
FABIOLA MARA RIBEIRO,PQ,2,CNPq
FABRICIO BENEVENUTO DE SOUZA,PQ,1D,CNPq
FABRICIO BERTINI PASQUOT POLIDO,PQ,2,CNPq
FABRICIO DE ANDRADE CAXITO,PQ,1D,CNPq
FABRICIO DE ARAUJO MOREIRA,PQ,2,CNPq
FABRICIO RODRIGUES DOS SANTOS,PQ,1A,CNPq
FAUSTO BOREM DE OLIVEIRA,PQ,C,CNPq
FELICIO BRUZZI BARROS,PQ,1D,CNPq
FELIPE PAIVA FONSECA,PQ,B,CNPq
FERNANDA DE MORAIS FERREIRA,PQ,2,CNPq
FERNANDA PENIDO MATOZINHOS,PQ,2,CNPq
FERNANDA RADICCHI CAMPOS LOBATO DE ALMEIDA,PQ,2,CNPq
FERNANDO ANTONIO MENCARELLI,PQ,B,CNPq
FERNANDO ARAUJO PERINI,PQ,C,CNPq
FERNANDO COTTING,DT,2,CNPq
FERNANDO DE OLIVEIRA COSTA,PQ,A,CNPq
FERNANDO DE OLIVEIRA SOUZA,PQ,1D,CNPq
FERNANDO HENRIQUE SILVEIRA,PQ,C,CNPq
FERNANDO JOSE DA SILVA MOREIRA,PQ,1C,CNPq
FERNANDO MAGNO QUINTAO PEREIRA,PQ,1D,CNPq
FERNANDO MARCOS DOS REIS,PQ,1A,CNPq
FERNAO CASTRO BRAGA,PQ,1D,CNPq
FLAVIA CRISTINA CAMILO MOURA MATTIOLI,PQ,2,CNPq
FLAVIA FIGUEIRA ABURJAILE,PQ,C,CNPq
FLAVIANO DOS SANTOS MARTINS,PQ,1D,CNPq
FLAVIANO OLIVEIRA SILVERIO,PQ,2,CNPq
FLAVIO ALMEIDA AMARAL,PQ,1D,CNPq
FLAVIO BAMBIRRA GONCALVES,PQ,1B,CNPq
FLAVIO DE LEMOS CARSALADE,PQ,C,CNPq
FLAVIO GUIMARAES DA FONSECA,PQ,2,CNPq
FRANCINE BENETTI FARIA,PQ,2,CNPq
FRANCISCO ANGELO COUTINHO,PQ,2,CNPq
FRANCISCO CARLOS FELIX LANA,PQ,2,CNPq
FREDERIC JEAN GEORGES FREZARD,PQ,1B,CNPq
FREDERICO DE SIQUEIRA NEVES,PQ,1D,CNPq
FREDERICO GADELHA GUIMARAES,PQ,B,CNPq
FREDERICO GONZAGA JAYME JUNIOR,PQ,B,CNPq
FREDERICO MARIANETTI SORIANI,PQ,C,CNPq
FREDERICO RODRIGUES BORGES DA CRUZ,PQ,1D,CNPq
GABRIEL DE MORAIS COUTINHO,PQ,2,CNPq
GABRIEL JUBE UHLEIN,PQ,2,CNPq
GEANE CARVALHO ALZAMORA,PQ,2,CNPq
GEORG OTTE,PQ,2,CNPq
GEORGE LUIZ MEDEIROS TEODORO,PQ,1D,CNPq
GEOVANNI DANTAS CASSALI,PQ,1A,CNPq
GERALD WEBER,PQ,2,CNPq
GERALDO MAGELA DE LIMA,PQ,1D,CNPq
GERALDO WILSON AFONSO FERNANDES,PQ,1A,CNPq
GERCINA ANGELA DE LIMA,PQ,B,CNPq
GERMANO LEAO DEMOLIN LEITE,PQ,C,CNPq
